boneId,parentBoneId,m00,m01,m02,m03,m10,m11,m12,m13,m20,m21,m22,m23,m30,m31,m32,m33
10,9,1.0,-7.450580596923828e-09,2.7939677238464355e-09,-2.3999998569488525,7.450580152834618e-09,1.0,1.0780058801174164e-07,1.247972107876194e-07,-2.7939683899802503e-09,-7.601407503443625e-08,1.0,-7.078052988163108e-08,0.0,0.0,0.0,1.0
11,10,0.9999999403953552,-7.450580596923828e-09,3.725290298461914e-09,-7.729977369308472e-08,7.450580152834618e-09,0.9999998807907104,1.3876704940685158e-07,-2.3096799850463867e-07,-3.725290742551124e-09,-1.0698054353497355e-07,0.9999998807907104,2.019186447004776e-14,0.0,0.0,0.0,1.0
12,3,0.9999980330467224,0.0019862004555761814,1.8827910025720485e-05,0.0,-0.001986289629712701,0.9999530911445618,0.0094790393486619,4.09999942779541,1.8038445737111886e-10,-0.009479026310145855,0.9999550580978394,-3.584333398976014e-07,0.0,0.0,0.0,1.0
13,12,1.0,-1.1611334116423677e-10,-1.3642420526593924e-12,-2.3251374159372062e-09,1.1611334116423677e-10,1.0,1.1944212019443512e-07,-9.233262971974909e-07,1.364231861158971e-12,-8.765560721712973e-08,1.0,-3.7252094742257214e-09,0.0,0.0,0.0,1.0
14,2,1.0,0.0,0.0,0.0,0.0,0.9999619126319885,0.008726663887500763,1.2434497875801753e-13,0.0,-0.008726632222533226,0.9999619126319885,-1.0870583043560279e-20,0.0,0.0,0.0,1.0
15,14,1.0,-1.2027125251279358e-07,5.237072855379665e-07,0.800000011920929,-1.128168942272044e-13,0.974628746509552,0.22382719814777374,-1.3999998569488525,-5.373402132136107e-07,-0.22382716834545135,0.974628746509552,1.233232040931398e-07,0.0,0.0,0.0,1.0
16,15,1.0,-1.5117427302384703e-14,-3.917862806098252e-14,-5.748591291876437e-08,-4.459281607301991e-15,0.88945472240448,-0.45702335238456726,-2.200000286102295,4.175663382232318e-14,0.45702338218688965,0.88945472240448,1.9406357409934571e-07,0.0,0.0,0.0,1.0
17,16,1.0,-4.6890185068093615e-09,-5.37318840088119e-07,1.1483125206268596e-07,1.3237053053671843e-07,0.9712950587272644,0.23787754774093628,-2.2643964290618896,5.207798494666349e-07,-0.2378775030374527,0.9712951183319092,0.015771476551890373,0.0,0.0,0.0,1.0
18,17,1.0,8.470329472543003e-22,-1.6940723568571362e-21,-2.653433028854124e-14,-8.470327453059086e-22,1.0,1.1920928955078125e-07,4.263256414560601e-14,1.6940723568571362e-21,-8.742277657347586e-08,1.0,5.684305548367364e-15,0.0,0.0,0.0,1.0
19,14,1.0,-1.2157646267496602e-07,5.293907179293456e-07,-0.800000011920929,-1.273660132439583e-13,0.974628746509552,0.22382719814777374,-1.3999998569488525,-5.431716090242844e-07,-0.22382716834545135,0.974628746509552,1.233232040931398e-07,0.0,0.0,0.0,1.0
20,19,1.0,-7.97221988944885e-15,-1.3525265400661426e-14,-6.06970829153397e-08,9.095660016182963e-16,0.88945472240448,-0.45702335238456726,-2.200000047683716,1.567360099401314e-14,0.45702338218688965,0.88945472240448,3.052595047847717e-07,0.0,0.0,0.0,1.0
21,20,1.0,-4.739785453011791e-09,-5.431500085251173e-07,-6.403018204537148e-08,1.3380694952047634e-07,0.9712950587272644,0.23787754774093628,-2.2643966674804688,5.264315632302896e-07,-0.2378775030374527,0.9712951183319092,0.015771472826600075,0.0,0.0,0.0,1.0
22,21,1.0,-1.6940658945086007e-21,-2.117655069556776e-22,-1.1945999744966684e-13,1.6940658945086007e-21,1.0,1.1920928955078125e-07,-3.697042672001771e-14,2.117653554943838e-22,-8.742277657347586e-08,1.0,-5.684360181992462e-15,0.0,0.0,0.0,1.0
23,14,1.0,0.0,0.0,0.0,0.0,1.0,1.1920928955078125e-07,-7.087724185339539e-09,0.0,-8.742277657347586e-08,1.0,7.304441079769575e-11,0.0,0.0,0.0,1.0
